PM2.5,PM10,O3,NO2,CO,SO2,AQI
77.87,95.68,16.67,17.12,2.6399999999999997,25.39,327.0
57.59,95.68,25.51,15.47,2.6399999999999997,25.39,174.0
77.22,95.68,9.56,15.47,2.6399999999999997,25.39,185.0
45.29,95.68,6.32,12.74,2.6399999999999997,18.64,179.0
103.78,95.68,15.27,13.9,2.6399999999999997,7.76,211.0
25.14,95.68,38.52,18.73,2.6399999999999997,25.39,192.0
87.03,95.68,48.22,17.88,2.6399999999999997,23.84,310.0
89.6,95.68,44.78,19.84,2.6399999999999997,25.39,223.0
80.69,95.68,32.65,16.07,2.6399999999999997,25.39,192.0
44.75,95.68,8.07,16.53,2.6399999999999997,9.89,191.0
38.11,95.68,6.69,11.62,2.6399999999999997,3.13,184.0
45.5,95.68,3.82,15.59,2.6399999999999997,0.76,220.0
36.98,95.68,5.17,11.52,2.6399999999999997,0.52,215.0
43.58,95.68,7.56,13.33,2.6399999999999997,1.02,226.0
45.49,95.68,2.94,14.91,2.6399999999999997,0.81,251.0
38.06,95.68,4.63,18.57,2.6399999999999997,1.05,216.0
45.41,95.68,4.5,20.55,2.6399999999999997,0.74,237.0
37.71,95.68,4.6,16.26,2.6399999999999997,0.87,198.0
32.37,95.68,12.17,14.36,2.6399999999999997,2.17,195.0
34.74,95.68,12.22,13.51,2.6399999999999997,4.11,187.0
32.56,95.68,11.85,13.91,2.6399999999999997,4.04,181.0
29.28,95.68,12.64,11.68,2.6399999999999997,4.01,179.0
20.46,95.68,12.7,10.61,2.6399999999999997,5.62,188.0
26.07,95.68,10.57,11.07,2.6399999999999997,4.1,190.0
21.43,95.68,7.38,11.16,2.6399999999999997,4.99,185.0
11.91,95.68,5.47,10.1,2.6399999999999997,10.86,189.0
57.75,95.68,3.06,9.68,2.6399999999999997,12.28,196.0
66.39,95.68,4.96,12.79,2.6399999999999997,11.09,201.0
62.61,95.68,6.44,9.83,2.6399999999999997,12.31,231.0
47.5,95.68,7.28,9.53,2.6399999999999997,13.91,196.0
111.8,95.68,5.99,11.51,2.6399999999999997,5.27,220.0
30.0,95.68,6.31,13.59,2.6399999999999997,8.09,244.0
4.66,95.68,6.38,10.9,2.6399999999999997,7.31,223.0
48.72,95.68,6.61,11.94,2.6399999999999997,5.72,230.0
49.7,95.68,6.42,9.81,2.6399999999999997,6.78,243.0
48.1,95.68,7.6,9.53,2.6399999999999997,9.33,215.0
47.43,95.68,7.08,9.45,2.6399999999999997,7.93,199.0
51.74,95.68,5.78,12.38,2.6399999999999997,10.05,200.0
42.68,95.68,4.44,11.08,2.6399999999999997,10.87,226.0
38.45,95.68,3.24,7.8,2.6399999999999997,10.28,241.0
46.69,95.68,5.76,0.17,2.6399999999999997,10.25,222.0
55.27,95.68,6.55,0.12,2.6399999999999997,12.7,223.0
132.9,95.68,7.27,0.16,2.6399999999999997,10.07,248.0
86.57,95.68,6.53,0.17,2.6399999999999997,11.09,300.0
111.77,95.68,4.67,0.24,2.6399999999999997,7.73,232.0
132.9,95.68,5.46,0.36,2.6399999999999997,7.8,330.0
51.35,95.68,5.76,2.69,2.6399999999999997,10.0,223.0
65.37,95.68,8.02,8.07,0.64,16.31,105.0
56.28,95.68,6.2,8.02,0.6,18.93,101.0
48.17,95.68,7.97,8.0,0.65,18.99,93.0
33.56,95.68,10.18,7.89,0.72,11.28,67.0
31.3,95.68,7.44,8.1,0.55,10.29,60.0
48.12,95.68,6.3,7.9,0.67,1.28,118.0
57.11,95.68,2.6,8.28,0.55,14.58,90.0
34.72,95.68,4.87,9.73,0.1,13.62,78.0
29.22,95.68,5.08,9.57,0.06,13.58,48.0
29.79,95.68,5.34,8.64,0.14,15.11,53.0
59.95,95.68,2.79,8.78,0.18,11.52,91.0
19.2,95.68,4.61,9.45,1.52,11.23,70.0
19.52,95.68,4.4,11.26,2.6399999999999997,11.56,157.0
35.16,95.68,3.67,10.89,2.6399999999999997,14.7,158.0
33.03,95.68,3.53,10.58,2.6399999999999997,12.95,169.0
40.95,95.68,3.38,10.47,2.6399999999999997,19.8,174.0
40.29,95.68,3.57,10.52,2.6399999999999997,8.27,173.0
41.16,95.68,3.69,10.51,2.6399999999999997,13.48,172.0
36.12,95.68,6.08,11.56,2.6399999999999997,13.62,190.0
28.51,95.68,7.65,20.52,2.6399999999999997,5.69,171.0
31.59,95.68,7.9,20.42,2.6399999999999997,9.23,168.0
42.56,95.68,9.86,20.4,2.6399999999999997,6.28,172.0
48.12,95.68,12.78,20.3,2.6399999999999997,6.77,173.0
37.09,95.68,7.94,20.21,2.6399999999999997,8.66,175.0
33.4,95.68,8.39,20.09,2.6399999999999997,9.95,179.0
38.64,95.68,6.28,20.21,2.6399999999999997,9.74,174.0
40.49,95.68,21.51,20.23,2.6399999999999997,8.92,176.0
41.37,95.68,19.8,20.2,2.6399999999999997,11.73,179.0
44.56,95.68,22.77,20.06,2.6399999999999997,11.23,175.0
65.68,95.68,30.21,19.94,2.6399999999999997,8.21,177.0
